planta,tag,descripcion,fabricante,modelo,tipo_compresor,n_impulsores,mat_carcasa,tipo_lubricante,tipo_lubricante_rot,tipo_sello,vel_maxc,vel_rot,preq,gas_e1,temp_ent_e1,vol_e1_normal,vol_e1_dis,fmasico_e1,fmolar_e1,densidad_e1,pres_ent_e1,z_ent_e1,pres_sal_e1,temp_sal_e1,aumento_est_e1,z_sal_e1,cp_cv_ent_e1,cp_cv_sal_e1,rel_comp_e1,pot_nom_e1,pot_req_e1,ef_is_e1,ef_pol_e1,cab_pol_e1,hum_rel_e1,gas_e2,temp_ent_e2,vol_e2_normal,vol_e2_dis,fmasico_e2,fmolar_e2,densidad_e2,pres_ent_e2,z_ent_e2,pres_sal_e2,temp_sal_e2,aumento_est_e2,z_sal_e2,cp_cv_ent_e2,cp_cv_sal_e2,pot_req_e2,ef_is_e2,ef_pol_e2,cab_pol_e2,hum_rel_e2,gas_e3,temp_ent_e3,vol_e3_normal,vol_e3_dis,fmasico_e3,fmolar_e3,densidad_e3,pres_ent_e3,z_ent_e3,pres_sal_e3,temp_sal_e3,aumento_est_e3,z_sal_e3,cp_cv_ent_e3,cp_cv_sal_e3,pot_req_e3,ef_is_e3,ef_pol_e3,cab_pol_e3,hum_rel_e3,gas_e4,temp_ent_e4,vol_e4_normal,vol_e4_dis,fmasico_e4,fmolar_e4,densidad_e4,pres_ent_e4,z_ent_e4,pres_sal_e4,temp_sal_e4,aumento_est_e4,z_sal_e4,cp_cv_ent_e4,cp_cv_sal_e4,pot_req_e4,ef_is_e4,ef_pol_e4,cab_pol_e4,hum_rel_e4,gas_e5,temp_ent_e5,vol_e5_normal,vol_e5_dis,fmasico_e5,fmolar_e5,densidad_e5,pres_ent_e5,z_ent_e5,pres_sal_e5,temp_sal_e5,aumento_est_e5,z_sal_e5,cp_cv_ent_e5,cp_cv_sal_e5,pot_req_e5,ef_is_e5,ef_pol_e5,cab_pol_e5,hum_rel_e5
OLEFINAS I,181-J ,Compresor de gas crakeado,NUOVO PIGNONE,,CENTRIFUGO,,,,,,5740,,,Mezcla,43.3,85840,,117220,,,1.52,0.99,3,92,63554,0.99,1.22,1.2,,,3255,,83,8290,,Mezcla,40.6,49800,,114700,,,2.52,0.99,5.16,91,36850,0.99,1.22,1.2,3265,,84,8610,,Mezcla,40.6,26390,,114300,,,4.68,0.98,9.85,95,19952,0.98,1.22,1.2,3475,,81,8880,,Mezcla,40.6,12800,,113400,,,9.48,0.97,19.52,96,9379,0.96,1.23,1.21,3495,,77,8460,,Mezcla,21.1,8260,,110250,,,13.08,0.95,38.57,106,6030,0.94,1.24,1.21,4930,,75,12270,
OLEFINAS I,102-J ,Compresor de refrigeracion de propileno,NUOVO PIGNONE,,CENTRIFUGO,,,,,,4805,,,Propileno,-41.3,14460,,55675,,,1.31,0.948,2.27,-10,14252,0.943,1.201,1.181,,,530,,65,2594,,Propileno,-21.8,42881,,208055,,,2.27,0.931,6.06,27,31474,0.931,1.191,1.171,3560,,81,4993,,Propileno,16.4,29665,,351824,,,6.06,0.887,14.02,63,19777,0.842,1.18,1.17,5870,,75,4576,,Propileno,63,12955,,322243,,,14.02,0.842,19.7,83,9.078,0.817,1.17,1.168,2350,,74,4805,,,,,,,,,,,,,,,,,,,,,
OLEFINAS I,103-J ,Compresor de refrigeracion de etileno,NUOVO PIGNONE,,CENTRIFUGO,,,,,,,,,Etileno,-101.11,,,,,,1.096,0.94,,,,,,,,,,,,,,Etileno,-84.44,,,,,,2.778,0.92,,,,,,,,,,,,Etileno,-65,,,,,,6.219,0.88,,,,,,,,,,,,Etileno,,,,,,,,,17.89,154.44,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS I,180-J ,Bomba de calor,NUOVO PIGNONE,,CENTRIFUGO,,,,,,9080,,,Etileno,-34.5,4970,,162756,,,17.31,0.75,36.79,19,4070,0.73,1.33,1.31,,,2560,,79,4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-3101,Compresor de gas de proceso,LINDE,,CENTRIFUGO,,,,,,6457,,16571,Gas crakeado,36.5,,92862.5,122694.7,5507.5,1.321,1.5,,2.94,,,,,,,,,,,,,Gas  crakeado,36.8,,48845.5,120690.7,5396.3,2.471,2.79,,5.6,,,,,,,,,,,Gas crakeado,36.9,,24740,119403.7,5325.1,4.826,5.4,,10.6,,,,,,,,,,,Gas crakeado,37,,12635.3,117952.9,5277.4,9.335,10.35,,19.7,,,,1.279,1.279,,,,,100,Gas crakeado,32.7,6676.8,,121958.6,5378.9,18.266,19.05,,37.7,,,,,,,,,,100
OLEFINAS II,C-4401,Compresor de refrigeracion de etileno,LINDE,,CENTRIFUGO,,,,,,11015,,3180,Etileno,-102,,7683,15409,,,1.07,0.967,3.3,-29,,,1.391,,,,,,80.17,67.51,,Etileno,-62,,8113,44742.3,,,3.3,0.941,8.6,-1,,,1.341,,,,81.52,63.97,,Etileno,-30,,7115,93495,,,8.6,0.996,18.4,19,,,,1.297,,,81.56,54.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-4601,Compresor de refrigeracion de propileno,LINDE,,CENTRIFUGO,,,,,,3689,,13740,Propileno,-38,,,233027,,,1.44,,3.06,,,,,,,,,,,,,Propileno,,,,286276,,,2.94,,5.12,,,,,,,,,,,Propileno,,,,229744,,,5.12,,7.77,,,,,,,,,,,Propileno,,,,296525,,,7.72,,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-5501,Compresor 5501,LINDE,,CENTRIFUGO,,,,,,,,,Propileno,40.9,,11616,276910,,,12.2,0.825,19.17,66.8,,0.783,,,,,2285,,82.8,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-7201,Compresor de recompresion de etileno,LINDE,,CENTRIFUGO,,,,,,13500,,900,Etileno,-73,,2596,4563,,,1.02,0.978,2.74,8,,0.981,,,,,,,70.5,7008,,Etileno,-32,,2228,8812,,,2.74,0.968,7.73,54,,0.967,,1.33,,,70.03,8596,,Etileno,6.6,,1586,15616,,,7.73,0.944,15.6,67,,0.941,,1.268,,,68.9,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-7401,Refrigeracion de tanque,LINDE,,CENTRIFUGO,,,,,,9450,,2320,Propileno,-38.4,,11606,26090,,,1.006,0.966,2.55,7.8,,0.952,,,,,,,79.5,4631,,Propileno,2,,6549,32395,,,2.55,0.949,7.6,63.5,,0.92,,1.188,,,73.8,6282,,Propileno,48,,3452,45646,,,7.6,0.906,20.45,107,,0.852,,1.208,,,73.2,6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E3-C351 A,Compresor de cloro,MANNESMANN DEMAG,06 - MH - 4C,CENTRIFUGO,4,GS 26CRMO 4,Forzada,TURBOLUB-46,LABERINTO,11682,11682,,Cloro,-37.8,,,,,,,,3.31,83,,,,,,,,,,,,Cloro,39,,,,,,,,5.31,92,,,,,,,,,,Cloro,39,,,,,,,,,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E3-C351 B,Compresor de cloro,MANNESMANN DEMAG,06 - MH - 4C,CENTRIFUGO,4,GS 26CRMO 4,Forzada,TURBOLUB-46,LABERINTO,11682,11682,,Cloro,-37.8,,,,,,,,3.31,83,,,,,,,,,,,,Cloro,39,,,,,,,,5.31,92,,,,,,,,,,Cloro,39,,,,,,,,,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E3-C351 C,Compresor de cloro,MANNESMANN DEMAG,06- MH - 4C,CENTRIFUGO,4,GS 26CRMO 4,Forzada,TURBOLUB-46,LABERINTO,11682,11682,,Cloro,-37.8,,,,,,,,3.31,83,,,,,,,,,,,,Cloro,39,,,,,,,,5.31,92,,,,,,,,,,Cloro,39,,,,,,,,,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E3-C381 A,Compresor de vacio,MANNESMANN DEMAG,V100 - 3.4/3.4,CENTRIFUGO,2,NI CAST IRON,Por goteo,TURBOLUB-46,MECANICO,890,890,,Cloro seco,38,,348,334,,,0.35,,2.1,40,,,,,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E3-C381 B,Compresor de vacio,MANNESMANN DEMAG,V100 - 3.4/3.4,CENTRIFUGO,2,NI CAST IRON,Por goteo,TURBOLUB-46,MECANICO,890,890,,Cloro seco,38,,348,334,,,0.35,,2.1,40,,,,,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E5-C501 A,Compresor de hidrogeno,NASH,CL-2001,CENTRIFUGO,,CAST IRON,,,MECANICO,,705,,Hidrogeno,43.3,,,,,,1.001,,1.9613,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E5-C501 B,Compresor de hidrogeno,NASH,CL-2001,CENTRIFUGO,,CAST IRON,,,MECANICO,,705,,Hidrogeno,43.3,,,,,,1.001,,1.9613,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOROSODA,E5-C501 C,Compresor de hidrogeno,NASH,CL-2001,CENTRIFUGO,,CAST IRON,,,MECANICO,,705,,Hidrogeno,43.3,,,,,,1.001,,1.9613,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,